11_10_02_MT_ON,11/10/2017,12:31:00.272,71,ACQUIRING
11_10_02_MT_ON,11/10/2017,12:31:01.295,72,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:02.268,72,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:03.259,72,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:04.259,73,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:05.276,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:06.248,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:07.249,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:08.262,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:09.239,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:10.262,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:11.228,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:12.240,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:13.236,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:14.218,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:15.214,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:16.214,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:17.233,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:18.198,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:19.196,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:20.214,77,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:21.228,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:22.186,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:23.179,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:24.190,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:25.184,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:26.169,78,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:27.164,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:28.176,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:29.190,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:30.155,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:31.149,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:32.156,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:33.175,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:34.139,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:35.135,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:36.148,76,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:37.136,73,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:38.125,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:39.130,73,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:40.145,73,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:41.121,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:42.109,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:43.132,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:44.101,74,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:45.106,75,LOCKED
11_10_02_MT_ON,11/10/2017,12:31:46.110,76,LOCKED
