date,time,ecg
11/10/2017,10:16:57.282,22
11/10/2017,10:16:57.336,254
11/10/2017,10:16:57.337,253
11/10/2017,10:16:57.378,249
11/10/2017,10:16:57.379,252
11/10/2017,10:16:57.428,72
11/10/2017,10:16:57.429,206
11/10/2017,10:16:57.482,250
11/10/2017,10:16:57.483,253
11/10/2017,10:16:57.535,3
11/10/2017,10:16:57.536,3
11/10/2017,10:16:57.583,11
11/10/2017,10:16:57.584,13
11/10/2017,10:16:57.628,36
11/10/2017,10:16:57.629,45
11/10/2017,10:16:57.679,81
11/10/2017,10:16:57.680,79
11/10/2017,10:16:57.718,10
11/10/2017,10:16:57.721,252
11/10/2017,10:16:57.768,243
11/10/2017,10:16:57.769,242
11/10/2017,10:16:57.940,240
11/10/2017,10:16:57.941,240
11/10/2017,10:16:57.947,243
11/10/2017,10:16:57.948,245
11/10/2017,10:16:57.950,250
11/10/2017,10:16:57.951,253
11/10/2017,10:16:57.966,250
11/10/2017,10:16:57.972,250
11/10/2017,10:16:58.011,251
11/10/2017,10:16:58.013,251
11/10/2017,10:16:58.061,251
11/10/2017,10:16:58.062,250
11/10/2017,10:16:58.118,251
11/10/2017,10:16:58.123,251
11/10/2017,10:16:58.175,250
11/10/2017,10:16:58.176,249
11/10/2017,10:16:58.211,246
11/10/2017,10:16:58.212,251
11/10/2017,10:16:58.252,18
11/10/2017,10:16:58.304,14
11/10/2017,10:16:58.309,247
11/10/2017,10:16:58.310,245
11/10/2017,10:16:58.358,246
11/10/2017,10:16:58.360,248
11/10/2017,10:16:58.403,227
11/10/2017,10:16:58.405,194
11/10/2017,10:16:58.453,246
11/10/2017,10:16:58.454,247
11/10/2017,10:16:58.503,4
11/10/2017,10:16:58.504,4
11/10/2017,10:16:58.548,12
11/10/2017,10:16:58.549,18
11/10/2017,10:16:58.602,51
11/10/2017,10:16:58.647,64
11/10/2017,10:16:58.651,80
11/10/2017,10:16:58.696,6
11/10/2017,10:16:58.697,252
11/10/2017,10:16:58.773,240
11/10/2017,10:16:58.775,239
11/10/2017,10:16:58.947,238
11/10/2017,10:16:58.955,238
11/10/2017,10:16:58.956,246
11/10/2017,10:16:58.957,245
11/10/2017,10:16:58.958,249
11/10/2017,10:16:58.960,249
11/10/2017,10:16:58.961,249
11/10/2017,10:16:58.963,251
11/10/2017,10:16:58.989,254
11/10/2017,10:16:58.991,253
11/10/2017,10:16:59.366,255
11/10/2017,10:16:59.394,0
11/10/2017,10:16:59.417,2
11/10/2017,10:16:59.422,2
11/10/2017,10:16:59.429,5
11/10/2017,10:16:59.437,9
11/10/2017,10:16:59.439,31
11/10/2017,10:16:59.440,48
11/10/2017,10:16:59.444,36
11/10/2017,10:16:59.446,24
11/10/2017,10:16:59.448,19
11/10/2017,10:16:59.451,23
11/10/2017,10:16:59.453,116
11/10/2017,10:16:59.457,122
11/10/2017,10:16:59.458,20
11/10/2017,10:16:59.459,26
11/10/2017,10:16:59.460,38
11/10/2017,10:16:59.462,38
11/10/2017,10:16:59.474,43
11/10/2017,10:16:59.476,44
11/10/2017,10:16:59.530,55
11/10/2017,10:16:59.533,62
11/10/2017,10:16:59.574,107
11/10/2017,10:16:59.587,113
11/10/2017,10:16:59.628,81
11/10/2017,10:16:59.630,61
11/10/2017,10:16:59.673,30
11/10/2017,10:16:59.675,33
11/10/2017,10:16:59.718,40
11/10/2017,10:16:59.807,43
11/10/2017,10:16:59.821,60
